indicx,no_cidade
"90.90","Catolândia"
"119.04","Candiba"
"94.42","Irecê"
"100.36","Euclides da Cunha"
"116.22","Ibirapitanga"
"100.08","Guanambi"
"79.66","Ibitiara"
"79.50","Ibititá"
"122.29","Ibipitanga"
"94.05","Campo Alegre de Lourdes"
"108.56","Catu"
"105.23","Coração de Maria"
"107.03","Caldeirão Grande"
"117.82","Ibirapuã"
"110.63","Dom Macedo Costa"
"106.25","Canudos"
"70.96","Gongogi"
"99.13","Dom Basílio"
"100.94","Ipirá"
"80.34","Campo Formoso"
"91.50","Igrapiúna"
"108.13","Cairu"
"108.57","Governador Mangabeira"
"115.14","Conceição do Jacuípe"
"86.16","Condeúba"
"85.08","Guaratinga"
"82.53","Cocos"
"117.46","Caetanos"
"123.26","Coribe"
"76.70","Canavieiras"
"94.84","Crisópolis"
"101.26","Formosa do Rio Preto"
"120.32","Ipecaetá"
"76.36","Castro Alves"
"132.97","Ibicaraí"
"103.38","Caravelas"
"80.32","Macururé"
"114.96","Nova Viçosa"
"106.30","Mundo Novo"
"81.52","Itaparica"
"136.86","Luís Eduardo Magalhães"
"90.19","Morro do Chapéu"
"87.79","Itamaraju"
"161.40","Maetinga"
"97.91","Nova Soure"
"74.00","Itapitanga"
"87.93","Macarani"
"89.88","Mascote"
"71.85","Monte Santo"
"159.00","Maiquinique"
"98.09","Laje"
"114.28","Lajedinho"
"73.68","Lençóis"
"82.83","Jacobina"
"131.37","Itagimirim"
"74.17","Itiúba"
"143.02","Itapebi"
"105.41","Ituaçu"
"112.77","Itambé"
"94.04","Jussiape"
"103.88","Muniz Ferreira"
"87.97","Jaguarari"
"90.62","Malhada"
"85.16","Jussara"
"82.92","Macajuba"
"106.64","Medeiros Neto"
"89.17","Itacaré"
"89.50","Milagres"
"89.71","Maragogipe"
"89.81","Lajedo do Tabocal"
"134.43","Itiruçu"
"110.00","Nova Ibiá"
"100.50","Itaguaçu da Bahia"
"151.56","Iuiú"
"119.19","Itororó"
"82.37","Ituberá"
"100.00","Marcionílio Souza"
"99.15","Nova Redenção"
"108.97","Mairi"
"100.71","João Dourado"
"94.92","Mucuri"
"141.66","Itaju do Colônia"
"58.50","Itapé"
"112.94","Mortugaba"
"132.17","Nova Itarana"
"97.26","Jaguaquara"
"87.97","Oliveira dos Brejinhos"
"78.00","Olindina"
"81.90","Miguel Calmon"
"89.21","Maracás"
"107.82","Itapetinga"
"104.84","Madre de Deus"
"116.83","Ouriçangas"
"95.17","Itaberaba"
"84.61","Malhada de Pedras"
"88.07","Jussari"
"92.01","Juazeiro"
"105.51","Jandaíra"
"138.53","Nordestina"
"97.97","Macaúbas"
"95.50","Jeremoabo"
"106.35","Mirangaba"
"77.85","Itabuna"
"112.62","Maraú"
"102.00","Itapicuru"
"104.01","Mutuípe"
"126.60","Jitaúna"
"101.08","Lapão"
"95.42","Itanhém"
"103.82","Licínio de Almeida"
"84.17","Itaquara"
"95.23","Lafaiete Coutinho"
"99.18","Morpará"
"136.88","Novo Triunfo"
"105.45","Lajedão"
"105.78","Novo Horizonte"
"112.02","Itabela"
"108.51","Lamarão"
"98.02","Itarantim"
"81.71","Itagi"
"96.65","Nazaré"
"96.15","Jacaraci"
"111.88","Lauro de Freitas"
"89.17","Mata de São João"
"95.83","Itajuípe"
"93.58","Muquém de São Francisco"
"124.76","Manoel Vitorino"
"312.72","Jucuruçu"
"95.45","Itamari"
"96.90","Itanagra"
"120.18","Nova Canaã"
"112.36","Jiquiriçá"
"77.14","Jaguaripe"
"76.06","Itaeté"
"113.94","Muritiba"
"108.40","Mirante"
"124.22","Matina"
"101.54","Mucugê"
"70.20","Itagibá"
"104.97","Nilo Peçanha"
"112.94","Itatim"
"122.98","Nova Fátima"
"106.35","Jequié"
"92.06","Mansidão"
"99.16","Livramento de Nossa Senhora"
"128.44","Jaborandi"
"120.13","Lagoa Real"
"103.94","Mulungu do Morro"
"98.52","Teofilândia"
"78.70","Ubaíra"
"115.61","São Félix do Coribe"
"82.69","Santa Inês"
"50.69","São Miguel das Matas"
"87.69","Rio Real"
"94.85","Serrinha"
"95.00","Sebastião Laranjeiras"
"116.16","Sobradinho"
"80.80","Pé de Serra"
"88.74","Presidente Dutra"
"74.28","Ribeirão do Largo"
"103.92","São Desidério"
"120.66","Santa Bárbara"
"99.57","Seabra"
"93.81","Ourolândia"
"129.41","Rodelas"
"105.97","Pedrão"
"96.18","Salvador"
"106.69","Santa Brígida"
"124.39","Piripá"
"110.45","Santo Estêvão"
"102.43","Saubara"
"112.17","Riacho de Santana"
"68.58","Santa Luzia"
"90.17","Presidente Tancredo Neves"
"90.26","Porto Seguro"
"89.39","Planaltino"
"121.96","Santa Teresinha"
"80.70","Quijingue"
"98.58","Tapiramutá"
"111.44","Serra do Ramalho"
"134.01","Sítio do Mato"
"90.62","Sapeaçu"
"156.60","Serra Dourada"
"121.60","Uauá"
"101.26","Santo Antônio de Jesus"
"78.45","Santaluz"
"121.18","Ponto Novo"
"119.89","Prado"
"83.44","Presidente Jânio Quadros"
"94.02","Sítio do Quinto"
"129.41","Rio de Contas"
"85.19","Paramirim"
"120.00","Souto Soares"
"98.15","Teixeira de Freitas"
"104.16","Santa Cruz da Vitória"
"180.88","Pintadas"
"90.41","São Felipe"
"101.08","Paratinga"
"104.46","Tucano"
"88.61","Queimadas"
"116.38","Santa Rita de Cássia"
"68.75","São José da Vitória"
"103.00","Pojuca"
"107.79","São Francisco do Conde"
"93.11","Rafael Jambeiro"
"80.04","Simões Filho"
"90.87","Tremedal"
"95.41","Rio do Pires"
"93.44","Santo Amaro"
"127.27","Tanhaçu"
"77.22","Ubaitaba"
"92.03","Planalto"
"120.93","Tanquinho"
"126.21","Tabocas do Brejo Velho"
"86.57","São Gabriel"
"103.58","Santa Cruz Cabrália"
"104.01","Poções"
"97.54","São Sebastião do Passé"
"103.75","Pindobaçu"
"87.03","Taperoá"
"148.70","São José do Jacuípe"
"105.97","Palmeiras"
"75.65","Quixabeira"
"112.28","Terra Nova"
"107.82","Tanque Novo"
"161.53","São Domingos"
"95.26","Santa Maria da Vitória"
"94.98","Paripiranga"
"103.26","Pau Brasil"
"94.65","Riachão das Neves"
"102.05","Sátiro Dias"
"118.14","São Gonçalo dos Campos"
"88.73","Pilão Arcado"
"91.15","Remanso"
"92.62","Paulo Afonso"
"94.73","São Félix"
"118.06","Palmas de Monte Alto"
"82.60","Ribeira do Amparo"
"110.36","Pedro Alexandre"
"125.41","Serra Preta"
"77.85","Piatã"
"175.92","Piraí do Norte"
"73.13","Retirolândia"
"106.12","Rio do Antônio"
"113.24","Sento Sé"
"107.38","Riachão do Jacuípe"
"88.91","Santana"
"149.46","Salinas da Margarida"
"115.21","Teodoro Sampaio"
"118.79","Potiraguá"
"103.30","Senhor do Bonfim"
"102.38","Teolândia"
"108.97","Piritiba"
"87.33","Pindaí"
"116.42","Ribeira do Pombal"
"85.77","Ruy Barbosa"
"70.12","Santanópolis"
"117.04","Serrolândia"
"94.94","Saúde"
"94.53","Bambuí"
"138.14","Açucena"
"91.46","Ataléia"
"127.27","Uruçuca"
"132.60","Bonfim"
"99.39","Abre Campo"
"98.94","Borda da Mata"
"106.66","Bom Repouso"
"61.53","Alagoa"
"108.22","Araçuaí"
"99.18","Araguari"
"85.04","Bertópolis"
"92.80","Arceburgo"
"107.35","Betim"
"72.07","Araponga"
"108.69","Baldim"
"120.80","Várzea Nova"
"97.49","Vitória da Conquista"
"95.00","Aracitaba"
"115.78","Augusto de Lima"
"101.58","Berizal"
"99.23","Berilo"
"112.37","Várzea do Poço"
"111.02","Antônio Dias"
"150.00","Argirita"
"150.30","Valente"
"105.08","Alvinópolis"
"114.04","Wanderley"
"159.18","Bicas"
"134.65","Umburanas"
"94.76","Várzea da Roça"
"91.81","Alfenas"
"108.27","Alterosa"
"98.52","Bocaiúva"
"86.64","Ubatã"
"93.08","Wagner"
"163.63","Bandeira do Sul"
"105.55","Alto Rio Doce"
"113.99","Aimorés"
"99.32","Andradas"
